"id","name","location","lat","lng"
"152","Americana - Loja 2","True","0","0"
"153","Americana - Loja 3","True","0","0"
"154","Americana - Loja 5","True","0","0"
"155","Americana - Loja 7","True","0","0"
"156","Araras - Loja 24","True","0","0"
"157","Araras - Loja 25","True","0","0"
"158","Artur Nogueira - Loja 21","True","50","-142"
"159","Boituva - Loja 20","True","0","0"
"160","Campinas - Loja 13","True","0","0"
"161","Campinas - Loja 15","True","0","0"
"162","Campinas - Loja 26","True","0","0"
"163","Campinas - Loja 31","True","0","0"
"164","Campinas - Loja 39","True","0","0"
"165","Campinas - Loja 43","True","0","0"
"166","Campinas - Loja 45","True","0","0"
"167","Centro de Distribuicao - Loja 14","True","0","0"
"168","Complexo Administrativo - Loja 32","True","0","0"
"169","Hortolandia - Loja 16","True","0","0"
"170","Indaiatuba - Loja 11","True","0","0"
"171","Itu - Loja 34","True","0","0"
"172","Limeira - Loja 27","True","0","0"
"2","Loja 02 - Santa BÃ¡rbara","True","0","0"
"3","Loja 03 - Nova Odessa","True","0","0"
"4","Loja 04 - Campinas","True","0","0"
"173","Mogi Guacu - Loja 35","True","0","0"
"174","Nova Odessa - Loja 4","True","0","0"
"175","Paulinia - Loja 10","True","0","0"
"176","Paulinia - Loja 30","True","0","0"
"177","Piracicaba - Loja 22","True","0","0"
"178","Piracicaba - Loja 28","True","0","0"
"179","Ribeirao Preto - Loja 44","True","0","0"
"180","Salto - Loja 29","True","0","0"
"181","Santa Barbara d'Oeste - Loja 1","True","0","0"
"182","Santa Barbara d'Oeste - Loja 12","True","0","0"
"184","Santa Barbara d'Oeste - Loja 40","True","0","0"
"183","Santa Barbara d'Oeste - Loja 6","True","0","0"
"188","Sao Joao da Boa Vista - Loja 33","True","0","0"
"189","Sao Pedro - Loja 23","True","0","0"
"185","Sumare - Loja 18","True","0","0"
"186","Sumare - Loja 8","True","0","0"
"187","Sumare - Loja 9","True","0","0"
"190","Tiete - Loja 19","True","0","0"
"191","Tiete - Loja 42","True","0","0"
"192","Valinhos - Loja 38","True","0","0"
